params_classifier,params_criterion,params_n_estimators,params_max_depth,params_min_samples_split,params_min_samples_leaf,params_n_neighbors,value,accuracy,precision,recall,f1,mcc,datetime_start,datetime_complete,duration
ExtraTreesClassifier,entropy,98,6,8,11,5,0.8943233727469121,0.8827586206896552,0.9464285714285714,0.7293577981651376,0.8238341968911916,0.752242324826995,2025-07-01 23:22:27.771897,2025-07-01 23:22:29.329026,0 days 00:00:01.557129
CatBoost,entropy,140,10,10,1,17,0.8923106416662543,0.9381773399014778,0.9498941425546931,0.8820445609436435,0.9147128780156303,0.8677966394540663,2025-07-01 23:22:31.837133,2025-07-01 23:22:35.122400,0 days 00:00:03.285267
LightGBM,entropy,103,7,9,9,20,0.8894370784478636,0.9342364532019705,0.9399021663172606,0.8813892529488859,0.9097057828880621,0.8591717013891172,2025-07-01 23:22:48.687913,2025-07-01 23:22:49.780670,0 days 00:00:01.092757
RandomForestClassifier,entropy,77,10,5,4,10,0.8543998087039693,0.9172413793103448,0.9433681073025335,0.8296199213630406,0.8828451882845189,0.8233177529099396,2025-07-01 23:22:39.235216,2025-07-01 23:22:40.318359,0 days 00:00:01.083143
DecisionTreeClassifier,entropy,71,9,8,5,5,0.8363083164300203,0.9096059113300493,0.9447429009976976,0.8066841415465269,0.8702721809826793,0.8074591999456153,2025-07-01 23:22:55.767490,2025-07-01 23:22:55.926291,0 days 00:00:00.158801
